instance,course_id,lecture_index,day,timeslot,room_id
comp01,c0078,2,1,1,B
comp01,c0005,2,1,1,C
comp01,c0064,2,1,1,E
comp01,c0065,5,1,1,G
comp01,c0078,1,1,2,B
comp01,c0005,1,1,2,C
comp01,c0064,1,1,2,E
comp01,c0065,4,1,2,G
comp01,c0017,2,1,3,B
comp01,c0002,6,1,3,C
comp01,c0063,6,1,3,E
comp01,c0065,3,1,3,G
comp01,c0017,1,1,4,B
comp01,c0002,3,1,4,C
comp01,c0063,5,1,4,E
comp01,c0065,2,1,4,G
comp01,c0016,3,1,5,B
comp01,c0024,3,1,5,C
comp01,c0063,3,1,5,E
comp01,c0072,4,1,5,F
comp01,c0062,3,1,5,G
comp01,c0001,4,1,6,B
comp01,c0033,4,1,6,C
comp01,c0061,4,1,6,E
comp01,c0070,4,1,6,F
comp01,c0064,6,1,6,G
comp01,c0016,7,2,1,B
comp01,c0002,5,2,1,C
comp01,c0063,4,2,1,E
comp01,c0065,1,2,1,G
comp01,c0016,6,2,2,B
comp01,c0002,4,2,2,C
comp01,c0063,2,2,2,E
comp01,c0072,3,2,2,F
comp01,c0062,5,2,2,G
comp01,c0016,5,2,3,B
comp01,c0002,2,2,3,C
comp01,c0061,3,2,3,E
comp01,c0066,6,2,3,F
comp01,c0031,4,2,3,G
comp01,c0078,5,2,3,S
comp01,c0016,2,2,4,B
comp01,c0024,2,2,4,C
comp01,c0059,4,2,4,E
comp01,c0068,4,2,4,F
comp01,c0030,4,2,4,G
comp01,c0001,3,2,5,B
comp01,c0033,3,2,5,C
comp01,c0058,4,2,5,E
comp01,c0069,4,2,5,F
comp01,c0062,2,2,5,G
comp01,c0015,5,2,6,B
comp01,c0025,3,2,6,C
comp01,c0057,4,2,6,E
comp01,c0070,3,2,6,F
comp01,c0071,4,2,6,G
comp01,c0067,4,2,6,S
comp01,c0016,4,3,1,B
comp01,c0002,1,3,1,C
comp01,c0063,1,3,1,E
comp01,c0072,2,3,1,F
comp01,c0062,4,3,1,G
comp01,c0016,1,3,2,B
comp01,c0025,2,3,2,C
comp01,c0061,6,3,2,E
comp01,c0070,6,3,2,F
comp01,c0064,4,3,2,G
comp01,c0015,8,3,3,B
comp01,c0024,4,3,3,C
comp01,c0061,2,3,3,E
comp01,c0070,5,3,3,F
comp01,c0031,3,3,3,G
comp01,c0015,4,3,4,B
comp01,c0024,1,3,4,C
comp01,c0059,3,3,4,E
comp01,c0068,3,3,4,F
comp01,c0030,3,3,4,G
comp01,c0004,3,3,5,B
comp01,c0033,6,3,5,C
comp01,c0058,3,3,5,E
comp01,c0069,3,3,5,F
comp01,c0062,1,3,5,G
comp01,c0078,4,3,5,S
comp01,c0001,2,3,6,B
comp01,c0033,2,3,6,C
comp01,c0057,3,3,6,E
comp01,c0070,2,3,6,F
comp01,c0071,3,3,6,G
comp01,c0067,3,3,6,S
comp01,c0015,7,4,1,B
comp01,c0033,5,4,1,C
comp01,c0061,5,4,1,E
comp01,c0069,6,4,1,F
comp01,c0064,5,4,1,G
comp01,c0015,6,4,2,B
comp01,c0033,1,4,2,C
comp01,c0061,1,4,2,E
comp01,c0069,5,4,2,F
comp01,c0064,3,4,2,G
comp01,c0072,6,4,2,S
comp01,c0004,2,4,3,B
comp01,c0015,3,4,3,C
comp01,c0059,6,4,3,E
comp01,c0068,6,4,3,F
comp01,c0031,5,4,3,G
comp01,c0078,3,4,3,S
comp01,c0001,6,4,4,B
comp01,c0015,2,4,4,C
comp01,c0059,2,4,4,E
comp01,c0068,2,4,4,F
comp01,c0031,2,4,4,G
comp01,c0066,5,4,4,S
comp01,c0001,5,4,5,B
comp01,c0015,1,4,5,C
comp01,c0058,2,4,5,E
comp01,c0069,2,4,5,F
comp01,c0030,2,4,5,G
comp01,c0066,2,4,5,S
comp01,c0001,1,4,6,B
comp01,c0014,1,4,6,C
comp01,c0057,2,4,6,E
comp01,c0070,1,4,6,F
comp01,c0071,2,4,6,G
comp01,c0067,2,4,6,S
comp01,c0005,3,5,1,B
comp01,c0025,8,5,1,C
comp01,c0059,5,5,1,E
comp01,c0068,5,5,1,F
comp01,c0031,1,5,1,G
comp01,c0066,4,5,1,S
comp01,c0004,7,5,2,B
comp01,c0025,7,5,2,C
comp01,c0059,1,5,2,E
comp01,c0068,1,5,2,F
comp01,c0030,5,5,2,G
comp01,c0066,3,5,2,S
comp01,c0004,6,5,3,B
comp01,c0025,6,5,3,C
comp01,c0058,5,5,3,E
comp01,c0069,1,5,3,F
comp01,c0030,1,5,3,G
comp01,c0066,1,5,3,S
comp01,c0004,5,5,4,B
comp01,c0025,5,5,4,C
comp01,c0058,1,5,4,E
comp01,c0072,5,5,4,F
comp01,c0071,6,5,4,G
comp01,c0067,5,5,4,S
comp01,c0004,4,5,5,B
comp01,c0025,4,5,5,C
comp01,c0057,5,5,5,E
comp01,c0072,1,5,5,F
comp01,c0071,5,5,5,G
comp01,c0067,1,5,5,S
comp01,c0004,1,5,6,B
comp01,c0025,1,5,6,C
comp01,c0057,1,5,6,E
comp01,c0065,6,5,6,F
comp01,c0071,1,5,6,G
comp01,c0032,1,5,6,S
